,uuid,title,description,station,station_code,show_priority,show_times,since,till
715,403349c7-43a1-3f3c-b874-5df2eb1b9ac9,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-01 18:33:30+02:00,2023-06-01 19:00:00+02:00
716,940dfd55-f21d-3fde-a6a3-b7559116c8a1,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-01 19:06:00+02:00,2023-06-01 20:00:00+02:00
717,c930c4fe-ecfb-3ec6-9ff7-3e8f7921a445,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-02 13:06:00+02:00,2023-06-02 14:00:00+02:00
718,2471895d-cebb-3e86-9b96-d00c45c693e8,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-02 14:06:00+02:00,2023-06-02 15:00:00+02:00
719,63c6380b-ae43-3d36-b8e0-938237dbe8ad,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-02 15:06:00+02:00,2023-06-02 16:00:00+02:00
720,cefd9d51-3027-35c2-ba3d-551d71a32c39,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-02 16:06:00+02:00,2023-06-02 17:00:00+02:00
721,3cccb44a-1271-37e5-b1a9-deb6ff01e5a6,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-02 17:06:00+02:00,2023-06-02 18:00:00+02:00
722,162070f1-887e-3f61-b009-0bcb7f98c5d1,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-02 18:33:30+02:00,2023-06-02 19:00:00+02:00
723,dc9f8c8d-5203-3100-92da-1bdfa293cdfe,"Aktuální reportáže, nejrychlejší zpravodajství i ekonomické aktuality",Moderuje Štěpán Pokorný.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-02 19:06:00+02:00,2023-06-02 20:00:00+02:00
724,c4bfe6dc-3af0-3fe0-96be-0d505367316d,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-05 13:06:00+02:00,2023-06-05 14:00:00+02:00
725,ef1d7d75-c729-3ef4-8a13-b41bd8d68ee3,Aktuální reportáže a nejrychlejší zpravodajství,Moderuje Hanka Shánělová.,4082f63f-30e8-375d-a326-b32cf7d86e02,1,0,,2023-06-05 14:06:00+02:00,2023-06-05 15:00:00+02:00
